t,x0,x1
0.0148,4.68591e-05,0.00704596
0.0149,4.75637e-05,0.00710586
0.015,4.82743e-05,0.00716588
0.0151,4.89909e-05,0.00722602
0.0152,4.97135e-05,0.00728628
0.0153,5.04421e-05,0.00734666
0.0154,5.11768e-05,0.00740715
0.0155,5.19175e-05,0.00746777
0.0156,5.26643e-05,0.0075285
0.0157,5.34171e-05,0.00758934
0.0158,5.41761e-05,0.0076503
0.0159,5.49411e-05,0.00771137
0.016,5.57122e-05,0.00777255
0.0161,5.64895e-05,0.00783384
0.0162,5.72729e-05,0.00789525
0.0163,5.80624e-05,0.00795675
0.0164,5.88581e-05,0.00801837
0.0165,5.96599e-05,0.00808009
0.0166,6.04679e-05,0.00814192
0.0167,6.12821e-05,0.00820385
0.0168,6.21025e-05,0.00826588
0.0169,6.29291e-05,0.00832801
0.017,6.37619e-05,0.00839024
0.0171,6.46009e-05,0.00845257
0.0172,6.54462e-05,0.008515
0.0173,6.62977e-05,0.00857753
0.0174,6.71554e-05,0.00864015
0.0175,6.80194e-05,0.00870286
0.0176,6.88897e-05,0.00876567
0.0177,6.97663e-05,0.00882857
0.0178,7.06491e-05,0.00889156
0.0179,7.15383e-05,0.00895463
0.018,7.24338e-05,0.0090178
0.0181,7.33355e-05,0.00908105
0.0182,7.42436e-05,0.00914439
0.0183,7.51581e-05,0.00920781
0.0184,7.60789e-05,0.00927132
0.0185,7.7006e-05,0.00933491
0.0186,7.79395e-05,0.00939857
0.0187,7.88793e-05,0.00946232
0.0188,7.98256e-05,0.00952615
0.0189,8.07782e-05,0.00959005
0.019,8.17372e-05,0.00965403
0.0191,8.27026e-05,0.00971808
0.0192,8.36744e-05,0.00978221
0.0193,8.46526e-05,0.00984641
0.0194,8.56373e-05,0.00991068
0.0195,8.66283e-05,0.00997502
0.0196,8.76258e-05,0.0100394
0.0197,8.86298e-05,0.0101039
0.0198,8.96402e-05,0.0101684
0.0199,9.0657e-05,0.010233
0.02,9.16803e-05,0.0102977
0.0201,9.27101e-05,0.0103624
0.0202,9.37463e-05,0.0104272
0.0203,9.47891e-05,0.0104921
0.0204,9.58383e-05,0.010557
0.0205,9.6894e-05,0.010622
0.0206,9.79562e-05,0.010687
0.0207,9.90249e-05,0.010752
0.0208,0.0001001,0.0108172
0.0209,0.000101182,0.0108824
0.021,0.00010227,0.0109476
0.0211,0.000103365,0.0110129
0.0212,0.000104466,0.0110782
0.0213,0.000105574,0.0111436
0.0214,0.000106688,0.011209
0.0215,0.000107809,0.0112744
0.0216,0.000108937,0.0113399
0.0217,0.000110071,0.0114055
0.0218,0.000111211,0.0114711
0.0219,0.000112358,0.0115367
0.022,0.000113512,0.0116024
0.0221,0.000114672,0.0116681
0.0222,0.000115839,0.0117338
0.0223,0.000117012,0.0117996
0.0224,0.000118192,0.0118654
0.0225,0.000119379,0.0119312
0.0226,0.000120572,0.011997
0.0227,0.000121772,0.0120629
0.0228,0.000122978,0.0121288
0.0229,0.000124191,0.0121948
0.023,0.00012541,0.0122607
0.0231,0.000126636,0.0123267
0.0232,0.000127869,0.0123927
0.0233,0.000129108,0.0124588
0.0234,0.000130354,0.0125248
0.0235,0.000131607,0.0125909
0.0236,0.000132866,0.012657
0.0237,0.000134131,0.0127231
0.0238,0.000135404,0.0127892
0.0239,0.000136683,0.0128553
0.024,0.000137968,0.0129214
0.0241,0.00013926,0.0129876
0.0242,0.000140559,0.0130537
0.0243,0.000141864,0.0131199
0.0244,0.000143176,0.013186
0.0245,0.000144495,0.0132522
0.0246,0.00014582,0.0133184
0.0247,0.000147152,0.0133845
0.0248,0.000148491,0.0134507
0.0249,0.000149836,0.0135169
0.025,0.000151187,0.013583
0.0251,0.000152546,0.0136492
0.0252,0.000153911,0.0137154
0.0253,0.000155282,0.0137815
0.0254,0.00015666,0.0138476
0.0255,0.000158045,0.0139138
0.0256,0.000159436,0.0139799
0.0257,0.000160834,0.014046
0.0258,0.000162239,0.0141121
0.0259,0.00016365,0.0141782
0.026,0.000165068,0.0142443
0.0261,0.000166492,0.0143103
0.0262,0.000167923,0.0143763
0.0263,0.000169361,0.0144424
0.0264,0.000170805,0.0145084
0.0265,0.000172256,0.0145743
0.0266,0.000173714,0.0146403
0.0267,0.000175178,0.0147062
0.0268,0.000176648,0.0147721
0.0269,0.000178125,0.0148379
0.027,0.000179609,0.0149038
0.0271,0.0001811,0.0149696
0.0272,0.000182597,0.0150354
0.0273,0.0001841,0.0151011
0.0274,0.00018561,0.0151668
0.0275,0.000187127,0.0152325
0.0276,0.00018865,0.0152981
0.0277,0.00019018,0.0153637
0.0278,0.000191716,0.0154293
0.0279,0.000193259,0.0154948
0.028,0.000194809,0.0155602
0.0281,0.000196365,0.0156257
0.0282,0.000197927,0.015691
0.0283,0.000199496,0.0157564
0.0284,0.000201072,0.0158217
0.0285,0.000202654,0.0158869
0.0286,0.000204243,0.0159521
0.0287,0.000205838,0.0160172
