t,x0,x1
0.0149,3.67314e-05,0.00496067
0.015,3.72275e-05,0.00499388
0.0151,3.77269e-05,0.00502709
0.0152,3.82296e-05,0.00506029
0.0153,3.87356e-05,0.0050935
0.0154,3.9245e-05,0.0051267
0.0155,3.97576e-05,0.00515991
0.0156,4.02736e-05,0.00519311
0.0157,4.07929e-05,0.00522631
0.0158,4.13156e-05,0.0052595
0.0159,4.18415e-05,0.0052927
0.016,4.23708e-05,0.00532589
0.0161,4.29034e-05,0.00535908
0.0162,4.34393e-05,0.00539228
0.0163,4.39785e-05,0.00542546
0.0164,4.45211e-05,0.00545865
0.0165,4.50669e-05,0.00549184
0.0166,4.56161e-05,0.00552502
0.0167,4.61686e-05,0.0055582
0.0168,4.67244e-05,0.00559138
0.0169,4.72836e-05,0.00562456
0.017,4.7846e-05,0.00565773
0.0171,4.84118e-05,0.00569091
0.0172,4.89809e-05,0.00572408
0.0173,4.95533e-05,0.00575725
0.0174,5.0129e-05,0.00579042
0.0175,5.07081e-05,0.00582358
0.0176,5.12904e-05,0.00585675
0.0177,5.18761e-05,0.00588991
0.0178,5.24651e-05,0.00592307
0.0179,5.30574e-05,0.00595623
0.018,5.3653e-05,0.00598938
0.0181,5.4252e-05,0.00602254
0.0182,5.48542e-05,0.00605569
0.0183,5.54598e-05,0.00608884
0.0184,5.60687e-05,0.00612199
0.0185,5.66809e-05,0.00615514
0.0186,5.72964e-05,0.00618828
0.0187,5.79152e-05,0.00622142
0.0188,5.85373e-05,0.00625456
0.0189,5.91628e-05,0.0062877
0.019,5.97916e-05,0.00632084
0.0191,6.04237e-05,0.00635397
0.0192,6.10591e-05,0.0063871
0.0193,6.16978e-05,0.00642023
0.0194,6.23398e-05,0.00645336
0.0195,6.29851e-05,0.00648649
0.0196,6.36338e-05,0.00651961
0.0197,6.42857e-05,0.00655273
0.0198,6.4941e-05,0.00658585
0.0199,6.55996e-05,0.00661897
0.02,6.62615e-05,0.00665208
0.0201,6.69267e-05,0.0066852
0.0202,6.75952e-05,0.00671831
0.0203,6.82671e-05,0.00675141
0.0204,6.89422e-05,0.00678452
0.0205,6.96206e-05,0.00681762
0.0206,7.03024e-05,0.00685072
0.0207,7.09875e-05,0.00688382
0.0208,7.16759e-05,0.00691692
0.0209,7.23676e-05,0.00695001
0.021,7.30626e-05,0.00698311
0.0211,7.37609e-05,0.0070162
0.0212,7.44625e-05,0.00704928
0.0213,7.51674e-05,0.00708237
0.0214,7.58756e-05,0.00711545
0.0215,7.65872e-05,0.00714853
0.0216,7.7302e-05,0.00718161
0.0217,7.80202e-05,0.00721469
0.0218,7.87417e-05,0.00724776
0.0219,7.94665e-05,0.00728083
0.022,8.01945e-05,0.0073139
0.0221,8.09259e-05,0.00734696
0.0222,8.16606e-05,0.00738003
0.0223,8.23986e-05,0.00741309
0.0224,8.31399e-05,0.00744615
0.0225,8.38845e-05,0.0074792
0.0226,8.46325e-05,0.00751226
0.0227,8.53837e-05,0.00754531
0.0228,8.61382e-05,0.00757836
0.0229,8.68961e-05,0.0076114
0.023,8.76572e-05,0.00764445
0.0231,8.84216e-05,0.00767749
0.0232,8.91894e-05,0.00771053
0.0233,8.99604e-05,0.00774356
0.0234,9.07348e-05,0.0077766
0.0235,9.15125e-05,0.00780963
0.0236,9.22934e-05,0.00784266
0.0237,9.30777e-05,0.00787568
0.0238,9.38653e-05,0.0079087
0.0239,9.46561e-05,0.00794172
0.024,9.54503e-05,0.00797474
0.0241,9.62478e-05,0.00800776
